folio;id01;resultad;totper;rcompra;c_dia;c_mes;c_resul;s1_01;s1_02;s1_02e;s1_03;s1_04;s1_05;s1_05e;s1_06;s1_07;s1_07e;s1_08;s1_08e;s1_09;s1_09e;s1_10;s1_11;s1_12;s1_13;s1_14;s1_15;s1_16;s1_16e;s1_171a;s1_171b;s1_172a;s1_172b;s1_173a;s1_173b;s1_174a;s1_174b;s1_174e;s1_181a;s1_181b;s1_182a;s1_182b;s1_183a;s1_183b;s1_184a;s1_184b;s1_185a;s1_185b;s1_185e;s1_19;s1_20;s1_20e;s1_21;s1_22;s1_23;s1_24;s1_25;s1_26;upm;area;estrato;factor_ant;factor
"10102011361";"01";1;4;1;4;12;1;1;2;"";;40;2;"";1;2;"";5;"";7;"";1;6;;;1;13;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;2;1;2;;2;"101020301";2;"32";401;402
"10128070021";"01";1;4;2;22;11;1;1;2;"";;200;2;"";1;4;"";1;"";7;"";1;1;2;1;2;;4;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;3;2;2;;2;"101280107";2;"32";351;352
"10128070221";"01";1;7;1;22;11;1;1;2;"";;200;2;"";1;2;"";5;"";1;"";1;1;2;1;2;;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;3;2;2;;2;"101280107";2;"32";351;352
"10128070421";"01";1;3;1;22;11;1;1;1;"";20;;2;"";1;2;"";1;"";1;"";2;6;;;2;;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";2;1;"";0;1;1;2;;2;"101280107";2;"32";351;352
"10128070631";"01";1;6;1;23;11;1;1;5;"";;50;2;"";1;2;"";1;"";1;"";1;3;;1;2;;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;3;1;2;;2;"101280107";2;"32";351;352
"10128070831";"01";1;7;2;23;11;1;1;2;"";;100;2;"";2;2;"";1;"";1;"";1;6;;;2;;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;4;2;2;;2;"101280107";2;"32";351;352
"10128071031";"01";1;3;1;23;11;1;1;2;"";;50;2;"";1;2;"";1;"";1;"";1;6;;;2;;4;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;3;1;2;;2;"101280107";2;"32";351;352
"10128071231";"01";1;2;1;24;11;1;1;2;"";;500;2;"";1;2;"";5;"";7;"";2;1;2;1;1;25;4;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;5;2;2;;2;"101280107";2;"32";351;352
"10128071431";"01";1;5;1;24;11;1;1;2;"";;100;2;"";1;4;"";1;"";7;"";2;6;;;2;;4;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;2;1;2;;2;"101280107";2;"32";351;352
"10128071631";"01";1;5;2;23;11;1;1;2;"";;100;2;"";1;2;"";1;"";7;"";1;6;;;2;;1;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;"";0;3;1;2;;2;"101280107";2;"32";351;352
