folio;departamento;n_hogar;s8_01;s8_02;s8_02e;s8_03;s8_04;s8_05;s8_05e;s8_06;s8_07;s8_07e;s8_08;s8_08e;s8_09;s8_09e;s8_10;s8_11;s8_12;s8_13;s8_14;s8_15;s8_16;s8_163;s8_171a;s8_171b;s8_172a;s8_172b;s8_173a;s8_173b;s8_174a;s8_174b;s8_174e;s8_181a;s8_181b;s8_182a;s8_182b;s8_183a;s8_183b;s8_184a;s8_184b;s8_185a;s8_185b;s8_185e;s8_19;s8_20;s8_21;s8_22;s8_23;s8_24;s8_25;s8_26;s8_27;s8_28;upm;estrato;area;factor_ant;factor
"10049030021";1;"1";1;2;"";;50;2;"";2;4;"";1;"";6;"";0;6;;;2;;1;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";2;1;0;2;1;2;;2;;2;"100490103";"31";2;357;356
"10049030061";1;"1";1;2;"";;25;2;"";2;4;"";1;"";6;"";0;6;;;2;;1;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";2;1;0;2;2;2;;2;;2;"100490103";"31";2;357;356
"10049030101";1;"1";1;2;"";;50;2;"";2;4;"";1;"";6;"";0;6;;;2;;4;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;0;4;3;2;;2;;2;"100490103";"31";2;357;356
"10049030141";1;"1";1;2;"";;30;2;"";2;4;"";1;"";6;"";0;6;;;2;;1;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";2;1;0;2;2;2;;2;;2;"100490103";"31";2;357;356
"10049030181";1;"1";1;2;"";;25;2;"";2;2;"";1;"";6;"";0;6;;;2;;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;0;2;1;2;;2;;2;"100490103";"31";2;357;356
"10049030221";1;"1";1;2;"";;30;2;"";2;4;"";1;"";6;"";0;6;;;2;;4;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";2;1;0;1;1;2;;2;;2;"100490103";"31";2;357;356
"10049030261";1;"1";1;2;"";;45;2;"";2;4;"";1;"";6;"";0;6;;;2;;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";1;1;0;2;1;2;;2;;2;"100490103";"31";2;357;356
"10049030301";1;"1";1;2;"";;30;2;"";2;2;"";1;"";7;"";0;6;;;2;;1;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";2;1;0;2;1;2;;2;;2;"100490103";"31";2;357;356
"10049030341";1;"1";1;2;"";;25;2;"";2;4;"";1;"";6;"";0;6;;;2;;2;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";2;1;0;1;1;2;;2;;2;"100490103";"31";2;357;356
"10049030381";1;"1";1;2;"";;30;2;"";2;4;"";1;"";7;"";0;6;;;2;;1;"";2;;2;;2;;2;;"";2;;2;;2;;2;;2;;"";2;1;0;2;1;2;;2;;2;"100490103";"31";2;357;356
